step,return
50000,0.34292276364273727
60000,39.00292384974438
70000,218.71640657425016
80000,219.80369104528933
90000,324.50236117674154
100000,254.25912585748986
110000,384.9298641299532
120000,428.20205529005887
130000,379.28759994583015
140000,469.80544632373073
150000,507.1604069767616
160000,493.9950201205747
170000,542.1959028541738
180000,559.3780561034746
190000,560.8357325552249
200000,571.0950794400842
210000,574.7613189075715
220000,598.9990997785246
230000,600.2939329610075
240000,627.9130695362949
250000,611.6886144937714
260000,629.5843636668467
270000,591.3499607260521
280000,623.9102687374848
290000,615.5195750614491
300000,615.741976036156
310000,642.7784604869125
320000,632.6222421957774
330000,648.8387254873728
340000,671.8185799320111
350000,673.0677796129421
360000,646.7187381658091
370000,597.4931790180652
380000,643.9767171190933
390000,657.2909255615741
400000,643.298252712071
410000,670.4571202342959
420000,678.2955384727129
430000,666.7985620316608
440000,669.554274035067
450000,694.202094970566
460000,693.3929587647117
470000,707.0779874888581
480000,703.0325241572117
490000,709.1581626161421
500000,711.4130332696097
510000,710.0778799162086
520000,527.9475752982084
530000,729.2595271489016
540000,687.5385567709823
550000,668.7439271642772
560000,721.0378271827065
570000,687.0600925581616
580000,753.0119131342946
590000,750.3503071262406
600000,751.2453706147979
610000,751.5539348460883
620000,726.5904715742513
630000,757.2218698593942
640000,768.7885779545754
650000,772.9107777693139
660000,769.6628232705133
670000,788.3852338200988
680000,795.3620792463582
690000,793.7301932116166
700000,802.7783524299437
710000,791.0314580712654
720000,790.0081321050976
730000,788.7203024437046
740000,815.2733094213272
750000,807.3247607743376
760000,813.5437038518705
770000,824.5097346635525
780000,801.5003349515624
790000,841.364941576764
800000,827.4789388250813
810000,834.3068058700557
820000,850.7572834134938
830000,813.3413680776347
840000,831.9569988648213
850000,813.9297638770312
860000,850.6051404811079
870000,848.6370831064521
880000,830.0289400620798
890000,858.1436590679066
900000,830.7422220416895
910000,841.3299834379243
920000,830.6754100482531
930000,843.3316476306019
940000,871.5884618970338
950000,849.6383936169416
960000,845.2588177889676
970000,853.6135379153188
980000,850.1158776159182
990000,852.464102284878
1000000,854.343795968209
1010000,860.5033379676797
1020000,850.6973540678359
1030000,842.0144648972197
1040000,859.8197127809153
1050000,843.4356072681878
1060000,838.022733617426
1070000,833.5159994952476
1080000,852.0737064370603
1090000,838.0362851504277
1100000,841.2554451676101
1110000,856.0330551687723
1120000,808.3428270910179
1130000,844.4374536116029
1140000,855.5879409785067
1150000,855.8832518449598
1160000,850.4947595605786
