step,return
50000,0.38779080700309687
60000,123.50460858787403
70000,117.11698893338095
80000,317.38116447643256
90000,354.0750265982773
100000,395.70938798006887
110000,378.77469306420306
120000,455.2088390818707
130000,283.3395002772524
140000,465.93885544770995
150000,386.6875272855881
160000,497.01183349776454
170000,450.59988118359837
180000,487.82036890508124
190000,505.9847726981409
200000,543.9622005462622
210000,568.1377062740848
220000,550.8560931678763
230000,447.3390358942216
240000,585.3967329125805
250000,442.37272619716896
260000,634.1369055971537
270000,641.2378289110277
280000,641.4751950891681
290000,643.4830096567275
300000,553.3782569606634
310000,640.1958040818605
320000,588.4175498800198
330000,638.4949241763381
340000,705.750046527552
350000,686.7897324058791
360000,659.7928143492106
370000,690.7717737331768
380000,707.6855670058167
390000,612.5361737605404
400000,600.8900832689988
410000,700.6779410893151
420000,684.0181867059557
430000,689.1428053187071
440000,730.1072541302402
450000,728.9216353753166
460000,752.0899064737603
470000,737.8583978020565
480000,745.1070083924967
490000,753.4497884699999
500000,758.8506637457582
510000,733.1071405893047
520000,737.5867097709597
530000,761.3598066255227
540000,789.4033076703969
550000,766.9132547065545
560000,793.1205746311603
570000,746.0777562587673
580000,823.2361803516454
590000,791.1474770440656
600000,768.3841335157582
610000,786.5346589246417
620000,765.7871070000087
630000,794.8375219562131
640000,784.9887839223234
650000,809.1313900964146
660000,787.5991483264969
670000,766.0103962860705
680000,801.5571558406859
690000,793.7986183485395
700000,790.880895504205
710000,801.5621631140459
720000,782.074905410024
730000,792.1020510348735
740000,816.7152782828882
750000,798.4269259447497
760000,796.2595060860265
770000,821.782892421466
780000,826.5146380747383
790000,802.8027731666709
800000,837.461013446133
810000,823.8364143432168
820000,822.2106680010763
830000,834.9768820896061
840000,845.2841827402583
850000,825.7149107652667
860000,854.7012673429944
870000,854.9626312502935
880000,843.2528659948189
890000,829.2349717571357
900000,845.9670721059975
910000,800.4401622830961
920000,857.3596747327333
930000,857.2624160495291
940000,859.5320488620862
950000,859.3291681851324
960000,860.195741136269
970000,814.4465450117048
980000,860.5595727503803
990000,849.8134329984409
1000000,861.1300448457805
1010000,858.3706345462077
1020000,854.7661873487566
1030000,860.568726571662
1040000,873.1270298348747
1050000,865.1917867293306
1060000,852.5195724110074
1070000,842.1741942594045
1080000,864.3741187021062
1090000,869.0835203897045
1100000,866.5140932687664
1110000,857.765830682911
1120000,856.5741358640607
1130000,853.49040833296
1140000,860.3998528041725
1150000,861.5117884251866
1160000,860.6328264880141
1170000,854.734613222518
1180000,869.1196236500265
1190000,865.4947432359963
1200000,874.4091887952347
1210000,865.2514142768217
1220000,863.1586959816725
1230000,874.7153835679022
1240000,866.5457314357998
1250000,867.4318696167551
1260000,874.4318144109484
1270000,863.7203581560341
1280000,858.5650132364526
1290000,878.4034209423946
1300000,859.4393721013163
1310000,880.2242439266857
1320000,877.5725784024395
1330000,863.5270410168645
1340000,858.9207057679896
1350000,862.6621908186346
1360000,863.2455977906047
1370000,871.1824033117028
1380000,868.3022142797042
1390000,867.1800588907677
1400000,865.7937704480621
1410000,866.6498632998146
1420000,865.4862466388136
1430000,863.4944964531624
1440000,871.8523384228113
1450000,870.4551953162738
1460000,866.7153493306186
1470000,869.4352683785717
1480000,861.1615344705475
1490000,876.5037153779534
1500000,871.1732723250498
1510000,876.31805302048
1520000,865.5658301578435
1530000,875.4845242363976
1540000,883.2294757039587
1550000,876.1733591474392
1560000,875.5355954127367
1570000,881.1315572479554
1580000,872.2303568930922
1590000,873.3113021329275
1600000,874.1778673709714
1610000,853.9302854507944
1620000,873.7716999918829
1630000,876.0539880678181
1640000,877.6035156761667
1650000,873.4332014271677
1660000,875.652485752249
1670000,869.6607759433296
1680000,868.6349507843806
1690000,867.344061936853
1700000,857.0785724592915
1710000,873.5503569479519
1720000,869.8063939738673
1730000,850.8723643585685
1740000,864.1115082027754
1750000,850.2154248202236
1760000,874.3195173179004
1770000,875.2412959833142
1780000,863.0618865501734
1790000,862.778873737884
1800000,878.0679763697599
1810000,877.7405957301107
1820000,878.7960643233729
1830000,884.1391137831498
1840000,886.2225071508309
1850000,873.926591172484
1860000,870.635729360217
1870000,860.8122053976019
1880000,873.9140559272637
1890000,872.6262410825675
1900000,849.7117702372846
1910000,888.8232457112492
1920000,879.6203267095063
1930000,881.4058159702995
1940000,882.8727051034522
1950000,859.1250803252717
1960000,888.2809847293867
1970000,877.5949025632076
1980000,884.3751764554423
1990000,880.3011289057271
2000000,874.2178539157112
