step,return
50000,0.7103770799718925
60000,0.9300365030757365
70000,265.7861421941604
80000,479.87781418359214
90000,513.892857943361
100000,291.35221333147496
110000,575.9707955024342
120000,616.3116784260836
130000,629.0399158950931
140000,673.847467730929
150000,668.9178767878361
160000,619.9621141154829
170000,669.5146807783074
180000,655.3027914514943
190000,689.3563167801219
200000,704.7841593540131
210000,651.001011655808
220000,703.6909036312446
230000,710.7630048342171
240000,712.2830984470293
250000,730.9485785383149
260000,709.0882808588157
270000,722.3423600979658
280000,721.7615363858148
290000,711.0206128213781
300000,748.5388600162903
310000,730.1127970389814
320000,758.5203689456637
330000,765.4565966652281
340000,763.2002854646197
350000,761.1458721856026
360000,765.3953001532566
370000,768.1585012786701
380000,791.979549927916
390000,776.9000836043352
400000,798.9405572440396
410000,814.9704708155035
420000,801.457540649219
430000,779.066648715271
440000,808.3022710287964
450000,818.6684676496084
460000,836.9368611870827
470000,822.7079679881676
480000,846.3290397004066
490000,852.7937095590828
500000,843.6591187438594
510000,863.6122546163049
520000,813.4213746726971
530000,857.599427471108
540000,851.4101532567604
550000,869.8462127623183
560000,858.9211226702599
570000,858.3882442525457
580000,865.0281671151541
590000,865.4145074257322
600000,860.6286572145377
610000,868.0733947788581
620000,867.7461354884294
630000,869.6969834274281
640000,870.5201128278671
650000,864.1916650473836
660000,860.5890597788825
670000,874.153103830692
680000,869.6272338209726
690000,871.3058516751707
700000,863.9799043224846
